time,Temp_3cm_below_surface,Temp_6cm_below_surface,Temp_30cm_below_surface,Waterlevel_300cm,Air_temp,TMP_ground_surface
2023-01-04 13:50:00,7.8,6.8,5.7,2.646,9.5,7.8
2023-01-04 14:00:00,7.8,6.8,5.8,2.646,9.5,7.8
2023-01-04 14:10:00,7.9,6.8,5.8,2.643,9.2,7.9
2023-01-04 14:20:00,7.9,6.8,5.8,2.644,9.3,7.9
2023-01-04 14:30:00,7.9,6.9,5.8,2.642,9.3,7.9
2023-01-04 14:40:00,7.9,7.0,5.8,2.64,9.3,7.9
2023-01-04 14:50:00,7.9,7.0,5.8,2.639,9.4,7.9
2023-01-04 15:00:00,7.9,7.0,5.8,2.637,9.4,7.9
2023-01-04 15:10:00,7.9,7.0,5.9,2.637,9.3,7.9
2023-01-04 15:20:00,7.8,7.0,5.9,2.636,9.3,7.8
2023-01-04 15:30:00,7.8,7.1,5.9,2.633,9.1,7.8
2023-01-04 15:40:00,7.8,7.1,5.9,2.634,9.1,7.8
2023-01-04 15:50:00,7.8,7.1,5.9,2.634,9.0,7.8
2023-01-04 16:00:00,7.8,7.2,6.0,2.631,9.0,7.8
2023-01-04 16:10:00,7.8,7.2,6.0,2.633,9.0,7.8
2023-01-04 16:20:00,7.8,7.2,6.0,2.63,8.9,7.8
2023-01-04 16:30:00,7.8,7.2,6.0,2.631,8.9,7.8
2023-01-04 16:40:00,7.8,7.2,6.0,2.629,8.9,7.8
2023-01-04 16:50:00,7.7,7.2,6.1,2.629,8.8,7.7
2023-01-04 17:00:00,7.7,7.2,6.1,2.627,8.7,7.7
2023-01-04 17:10:00,7.7,7.2,6.1,2.629,8.7,7.7
2023-01-04 17:20:00,7.6,7.2,6.1,2.629,8.7,7.6
2023-01-04 17:30:00,7.6,7.2,6.1,2.629,8.6,7.6
2023-01-04 17:40:00,7.6,7.2,6.2,2.63,8.5,7.6
2023-01-04 17:50:00,7.6,7.2,6.2,2.631,8.4,7.6
2023-01-04 18:00:00,7.6,7.2,6.2,2.629,8.3,7.6
2023-01-04 18:10:00,7.6,7.2,6.2,2.631,8.4,7.6
2023-01-04 18:20:00,7.6,7.2,6.2,2.626,8.4,7.6
2023-01-04 18:30:00,7.5,7.2,6.2,2.63,8.3,7.5
2023-01-04 18:40:00,7.4,7.2,6.2,2.628,8.3,7.4
2023-01-04 18:50:00,7.4,7.2,6.3,2.631,8.1,7.4
2023-01-04 19:00:00,7.4,7.2,6.3,2.63,8.1,7.4
2023-01-04 19:10:00,7.4,7.2,6.3,2.632,8.0,7.4
2023-01-04 19:20:00,7.4,7.2,6.3,2.632,8.0,7.4
2023-01-04 19:30:00,7.3,7.1,6.3,2.634,8.0,7.3
2023-01-04 19:40:00,7.2,7.1,6.4,2.632,7.9,7.2
2023-01-04 19:50:00,7.2,7.1,6.4,2.634,7.9,7.2
2023-01-04 20:00:00,7.2,7.1,6.4,2.634,7.9,7.2
2023-01-04 20:10:00,7.2,7.1,6.4,2.635,7.7,7.2
2023-01-04 20:20:00,7.2,7.0,6.4,2.633,7.8,7.2
2023-01-04 20:30:00,7.2,7.0,6.4,2.634,7.8,7.2
2023-01-04 20:40:00,7.2,7.0,6.4,2.633,7.7,7.2
2023-01-04 20:50:00,7.1,7.0,6.5,2.633,7.7,7.1
2023-01-04 21:00:00,7.1,7.0,6.5,2.631,7.6,7.1
2023-01-04 21:10:00,7.1,7.0,6.5,2.629,7.5,7.1
2023-01-04 21:20:00,7.0,7.0,6.5,2.63,7.4,7.0
2023-01-04 21:30:00,6.9,7.0,6.5,2.628,7.0,6.9
2023-01-04 21:40:00,6.8,7.0,6.6,2.628,6.8,6.8
2023-01-04 21:50:00,6.7,6.9,6.6,2.627,6.2,6.7
2023-01-04 22:00:00,6.6,6.8,6.6,2.627,5.9,6.6
2023-01-04 22:10:00,6.4,6.8,6.6,2.629,5.3,6.4
2023-01-04 22:20:00,6.2,6.7,6.6,2.629,5.1,6.2
2023-01-04 22:30:00,5.9,6.6,6.6,2.63,4.8,5.9
2023-01-04 22:40:00,5.8,6.6,6.6,2.628,4.7,5.8
2023-01-04 22:50:00,5.7,6.5,6.6,2.627,4.4,5.7
2023-01-04 23:00:00,5.6,6.4,6.6,2.627,4.4,5.6
2023-01-04 23:10:00,5.5,6.4,6.6,2.627,4.2,5.5
2023-01-04 23:20:00,5.4,6.3,6.6,2.627,4.1,5.4
2023-01-04 23:30:00,5.3,6.2,6.7,2.626,4.0,5.3
2023-01-04 23:40:00,5.2,6.2,6.7,2.627,4.0,5.2
2023-01-04 23:50:00,5.1,6.1,6.7,2.625,3.9,5.1
2023-01-05 00:00:00,5.0,6.0,6.7,2.626,3.8,5.0
2023-01-05 00:10:00,4.9,5.9,6.7,2.624,3.6,4.9
2023-01-05 00:20:00,4.8,5.8,6.7,2.624,3.6,4.8
2023-01-05 00:30:00,4.6,5.8,6.7,2.624,3.3,4.6
2023-01-05 00:40:00,4.5,5.7,6.7,2.623,3.3,4.5
2023-01-05 00:50:00,4.4,5.6,6.7,2.622,3.1,4.4
2023-01-05 01:00:00,4.4,5.6,6.7,2.623,3.1,4.4
2023-01-05 01:10:00,4.3,5.5,6.7,2.622,3.0,4.3
2023-01-05 01:20:00,4.2,5.4,6.7,2.623,3.0,4.2
2023-01-05 01:30:00,4.1,5.3,6.7,2.622,2.9,4.1
2023-01-05 01:40:00,4.0,5.2,6.7,2.621,2.9,4.0
2023-01-05 01:50:00,4.0,5.2,6.7,2.616,2.7,4.0
2023-01-05 02:00:00,3.9,5.2,6.7,2.619,2.7,3.9
2023-01-05 02:10:00,3.8,5.1,6.7,2.62,2.4,3.8
2023-01-05 02:20:00,3.7,5.0,6.7,2.617,2.4,3.7
2023-01-05 02:30:00,3.6,4.9,6.7,2.619,2.3,3.6
2023-01-05 02:40:00,3.6,4.8,6.7,2.619,2.3,3.6
2023-01-05 02:50:00,3.5,4.8,6.7,2.619,2.3,3.5
2023-01-05 03:00:00,3.4,4.8,6.7,2.62,2.2,3.4
2023-01-05 03:10:00,3.4,4.7,6.7,2.618,2.0,3.4
2023-01-05 03:20:00,3.4,4.6,6.7,2.617,2.0,3.4
2023-01-05 03:30:00,3.3,4.6,6.7,2.617,2.0,3.3
2023-01-05 03:40:00,3.2,4.5,6.6,2.619,2.0,3.2
2023-01-05 03:50:00,3.1,4.4,6.6,2.617,2.0,3.1
2023-01-05 04:00:00,3.0,4.4,6.6,2.616,2.0,3.0
2023-01-05 04:10:00,2.9,4.3,6.6,2.615,2.1,2.9
2023-01-05 04:20:00,2.9,4.2,6.6,2.615,2.1,2.9
