Depth (cm),Simulation,R-squared,NSE,RMSE
6,smcmax_0.2,0.9884966971660262,0.9866343303180346,0.44189266199465116
6,smcmax_0.3,0.9908040332985786,0.9885482404385374,0.40903223802866673
6,smcmax_0.468,0.9943054578365081,0.9907670992777485,0.3672742755673001
6,smcmax_0.4,0.9930434378247233,0.9901408064764248,0.37952651587371794
6,smcmax_0.5,0.9947388721908004,0.9908306521689292,0.36600806205462144
30,smcmax_0.2,0.832092303346251,0.8257742922963278,1.2008592567218066
30,smcmax_0.3,0.8675584613279353,0.8550241970535416,1.0954277861854878
30,smcmax_0.468,0.9417276009471394,0.9041877955225479,0.8905255982655103
30,smcmax_0.4,0.9119314284125982,0.8869139126378143,0.9674768471323861
30,smcmax_0.5,0.9544884762376893,0.9098549042647597,0.8637877558243632
